This is part of the Online Privacy and Security dataset from the
Graphic, Visualization, & Usability Center's (GVU) 10th WWW User
Survey.  Please see the file GVU_Survey_Copyright_Notice for the
conditions under which this dataset can be used and/or distributed.


Advertising Networks,Anonymous Payment Systems,Attitudes Towards Spamming,Childrens Privacy,Content Providers have Right to Resell User Information,Direct Marketing,Had Credit Card Number Stolen,Have Unlisted Phone Number,How Concerned about Security,How Concerned about Security for ECommerce,Information about Users Improves Marketing of Site,Internet Privacy Laws,Internet Shopping and Banking Make Life Easier,Mass Emailings,Ought to be able to Assume Different Aliases/Roles on the Internet,Policies Towards Spamming,Privacy of Communications,Security a Factor in Online Business,Use of Demographic Information in Other Mediums,Users Ought to Have Complete Control of Demographic Info,Value Anonymous Nature of Internet,Which is More Important,Willing to Use Credit Card on Web
Disagree Strongly,Agree Strongly,Other,Agree Strongly,Disagree Strongly,Disagree Strongly,No,Yes,Very,Very,Neither Agree or Disagree,Agree Strongly,No,Agree Strongly,Neither Agree or Disagree,Impact Fee,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,No
Disagree Strongly,No Opinion,Delete,Agree Strongly,Disagree Somewhat,Disagree Strongly,No,No,Somewhat,Very,Agree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Neither Agree or Disagree,Registry,Agree Strongly,A deciding factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Neither Agree or Disagree,Delete,Agree Strongly,Disagree Strongly,Disagree Strongly,No,Yes,Very,Very,Neither Agree or Disagree,Agree Strongly,Yes,Disagree Strongly,Neither Agree or Disagree,Government Controls,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Somewhat,Privacy,Yes
Disagree Strongly,Agree Somewhat,Delete,No Opinion,Disagree Strongly,Disagree Strongly,No,Yes,Very,Very,Disagree Strongly,Agree Strongly,Yes,Disagree Strongly,No Opinion,Registry,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,No Opinion,Delete,Agree Somewhat,Disagree Strongly,Disagree Strongly,Yes,No,Very,Somewhat,Disagree Somewhat,Agree Somewhat,No,Disagree Strongly,Agree Somewhat,Blacklist,Agree Strongly,A significant factor,Neither Agree or Disagree,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,No Opinion,Delete,Agree Strongly,Disagree Strongly,Disagree Strongly,Yes,No,Very,Very,Agree Strongly,Agree Strongly,Yes,Disagree Strongly,No Opinion,Impact Fee,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Somewhat,Privacy,Yes
Disagree Strongly,Neither Agree or Disagree,Other,Neither Agree or Disagree,Neither Agree or Disagree,Disagree Somewhat,No,Yes,Very,Very,Neither Agree or Disagree,Agree Somewhat,Yes,Disagree Strongly,Agree Somewhat,Other,Agree Strongly,A deciding factor,Disagree Somewhat,Neither Agree or Disagree,Agree Strongly,Privacy,No
Disagree Strongly,No Opinion,Delete,Disagree Strongly,Disagree Strongly,Disagree Strongly,No,No,Very,Somewhat,Agree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Agree Strongly,Registry,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Disagree Somewhat,Delete,Agree Strongly,Disagree Somewhat,Agree Somewhat,No,No,Somewhat,Somewhat,Agree Somewhat,Disagree Strongly,Yes,Disagree Somewhat,Agree Strongly,Registry,Agree Strongly,A significant factor,Agree Strongly,Agree Somewhat,Agree Strongly,Convenience,Yes
Disagree Strongly,Agree Somewhat,Reply,Neither Agree or Disagree,Agree Somewhat,Disagree Somewhat,No,No,Very,Very,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Impact Fee,Agree Strongly,A deciding factor,Disagree Somewhat,Agree Somewhat,Agree Strongly,Privacy,Yes
Neither Agree or Disagree,Neither Agree or Disagree,Delete,Agree Somewhat,Disagree Strongly,Neither Agree or Disagree,No,No,Somewhat,Somewhat,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Neither Agree or Disagree,Blacklist,Agree Somewhat,A significant factor,Neither Agree or Disagree,Agree Strongly,Neither Agree or Disagree,Convenience,Yes
Neither Agree or Disagree,Agree Strongly,Delete,Agree Strongly,Disagree Strongly,Neither Agree or Disagree,No,Yes,"Should be, but not",Very,Agree Strongly,Agree Strongly,Yes,Disagree Somewhat,Agree Somewhat,Registry,Agree Strongly,A significant factor,Agree Somewhat,Agree Strongly,Agree Strongly,Convenience,Yes
No Opinion,No Opinion,Read,Disagree Strongly,No Opinion,Agree Strongly,No,No,A little,A little,Agree Strongly,Agree Strongly,Yes,No Opinion,Agree Strongly,Nothing,Agree Strongly,Not a factor,Agree Strongly,No Opinion,Agree Strongly,Convenience,Yes
Disagree Strongly,Agree Somewhat,Other,Disagree Somewhat,Disagree Somewhat,Disagree Somewhat,No,No,Somewhat,Somewhat,Disagree Somewhat,Disagree Somewhat,Yes,Disagree Somewhat,Agree Somewhat,Other,Agree Strongly,A significant factor,Disagree Somewhat,Agree Somewhat,Agree Strongly,Privacy,Yes
Agree Somewhat,No Opinion,Delete,Agree Somewhat,Agree Somewhat,Agree Strongly,No,Yes,Not at all,Very,Neither Agree or Disagree,Agree Strongly,Yes,Neither Agree or Disagree,Neither Agree or Disagree,Blacklist,Neither Agree or Disagree,A deciding factor,Agree Somewhat,Agree Strongly,Neither Agree or Disagree,Convenience,No
Disagree Strongly,Agree Somewhat,Delete,Agree Somewhat,Disagree Strongly,Disagree Strongly,No,Yes,Very,Very,Disagree Somewhat,Agree Strongly,Yes,Disagree Strongly,Agree Somewhat,Other,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Somewhat,Privacy,No
Neither Agree or Disagree,Agree Strongly,Delete,Agree Strongly,Disagree Strongly,Agree Somewhat,No,Yes,A little,A little,Disagree Strongly,Disagree Somewhat,Yes,Disagree Strongly,Agree Strongly,Other,Agree Strongly,A deciding factor,Agree Somewhat,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Somewhat,Agree Somewhat,Other,Disagree Strongly,Agree Somewhat,Disagree Strongly,No,No,Somewhat,Somewhat,Agree Somewhat,Agree Somewhat,No,Disagree Strongly,Agree Somewhat,Registry,Agree Strongly,A significant factor,Agree Somewhat,Agree Strongly,Agree Somewhat,Privacy,Yes
Disagree Somewhat,Agree Somewhat,Delete,Neither Agree or Disagree,Disagree Somewhat,Disagree Somewhat,Yes,No,A little,A little,Disagree Somewhat,Agree Somewhat,Yes,Disagree Somewhat,Agree Strongly,Blacklist,Neither Agree or Disagree,A significant factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Convenience,Yes
Disagree Somewhat,Agree Strongly,Delete,Agree Strongly,Disagree Somewhat,Disagree Somewhat,Yes,No,Very,Very,Agree Somewhat,Neither Agree or Disagree,Yes,Disagree Somewhat,Neither Agree or Disagree,Registry,Agree Strongly,A deciding factor,Disagree Somewhat,Agree Somewhat,Agree Strongly,Privacy,No
Disagree Somewhat,Agree Strongly,Delete,Agree Strongly,Disagree Strongly,Neither Agree or Disagree,No,No,Somewhat,Somewhat,Agree Somewhat,Agree Strongly,Yes,Neither Agree or Disagree,Disagree Somewhat,Other,Agree Strongly,A deciding factor,Disagree Somewhat,Agree Strongly,Agree Somewhat,Privacy,No
Disagree Strongly,Agree Strongly,Delete,Disagree Strongly,Disagree Strongly,Disagree Strongly,No,Yes,Very,Somewhat,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Other,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Strongly,Delete,Disagree Strongly,Disagree Strongly,Disagree Strongly,No,No,Somewhat,Somewhat,Disagree Strongly,Neither Agree or Disagree,No,Disagree Strongly,Agree Strongly,Government Controls,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,No
Disagree Somewhat,Agree Strongly,Retaliate,Agree Strongly,Disagree Somewhat,Neither Agree or Disagree,No,No,Very,Very,Disagree Somewhat,Agree Strongly,Yes,Disagree Strongly,Agree Somewhat,Blacklist,Agree Strongly,A significant factor,Agree Somewhat,Agree Strongly,Agree Strongly,Privacy,No
Disagree Strongly,Neither Agree or Disagree,Delete,Neither Agree or Disagree,Disagree Somewhat,Disagree Strongly,No,No,Very,Very,No Opinion,No Opinion,Yes,Disagree Strongly,Agree Strongly,Registry,Neither Agree or Disagree,A significant factor,Disagree Strongly,Agree Strongly,Neither Agree or Disagree,Convenience,No
Disagree Strongly,Agree Strongly,Reply,Agree Strongly,Disagree Strongly,Disagree Strongly,No,No,Very,Very,Agree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Agree Strongly,Impact Fee,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,No
Disagree Strongly,Neither Agree or Disagree,Delete,Agree Strongly,Disagree Strongly,Disagree Strongly,Yes,No,Very,Very,Disagree Strongly,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Impact Fee,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,No Opinion,Delete,Agree Strongly,Disagree Strongly,Disagree Strongly,Yes,No,Very,Very,Agree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Agree Strongly,Other,Neither Agree or Disagree,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Neither Agree or Disagree,Agree Strongly,Delete,Neither Agree or Disagree,Disagree Strongly,Disagree Strongly,No,No,Somewhat,Very,Neither Agree or Disagree,Agree Somewhat,Yes,Disagree Strongly,Agree Somewhat,Registry,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Convenience,No
Disagree Strongly,Agree Somewhat,Retaliate,Neither Agree or Disagree,Disagree Strongly,Disagree Somewhat,No,No,Somewhat,Very,Disagree Strongly,Agree Somewhat,Yes,Disagree Strongly,Neither Agree or Disagree,Government Controls,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Convenience,Yes
Disagree Strongly,Agree Somewhat,Delete,Agree Somewhat,Disagree Strongly,Neither Agree or Disagree,No,No,Very,Very,Agree Somewhat,Agree Somewhat,Yes,Neither Agree or Disagree,Agree Somewhat,Registry,Agree Strongly,A deciding factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Somewhat,Agree Somewhat,Reply,Agree Somewhat,Disagree Somewhat,Disagree Strongly,No,No,Very,Very,Agree Strongly,Agree Somewhat,Yes,Disagree Strongly,Neither Agree or Disagree,Blacklist,Agree Strongly,A deciding factor,Neither Agree or Disagree,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,No Opinion,Reply,Agree Strongly,Disagree Strongly,Disagree Strongly,No,No,Very,Very,Agree Strongly,Agree Somewhat,Yes,Disagree Somewhat,Disagree Somewhat,Registry,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,No
Disagree Strongly,Agree Strongly,Delete,Disagree Somewhat,Disagree Strongly,Disagree Strongly,No,Yes,Very,Very,Neither Agree or Disagree,Agree Strongly,No,Disagree Strongly,Agree Strongly,Other,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,No
Disagree Somewhat,Agree Strongly,Delete,No Opinion,Disagree Somewhat,Disagree Strongly,No,No,Somewhat,Very,Disagree Somewhat,Neither Agree or Disagree,Yes,Disagree Somewhat,Neither Agree or Disagree,Government Controls,Agree Strongly,A small factor,Disagree Strongly,Agree Somewhat,Agree Strongly,Privacy,Yes
Disagree Somewhat,Neither Agree or Disagree,Delete,Agree Strongly,Disagree Strongly,Neither Agree or Disagree,No,Yes,Very,Very,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Disagree Somewhat,Registry,Agree Somewhat,A deciding factor,Disagree Strongly,Agree Strongly,Agree Somewhat,Privacy,Yes
Disagree Somewhat,Neither Agree or Disagree,Delete,Agree Strongly,Disagree Strongly,Disagree Strongly,No,No,A little,Very,Agree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Agree Somewhat,Don't Know,Agree Somewhat,A significant factor,Disagree Somewhat,Agree Somewhat,Agree Strongly,Privacy,Yes
Disagree Strongly,No Opinion,Other,Agree Strongly,Disagree Strongly,Disagree Strongly,No,Yes,Very,Very,Disagree Somewhat,Agree Strongly,Yes,Disagree Strongly,Agree Somewhat,Blacklist,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,No Opinion,Read,Disagree Strongly,Disagree Strongly,Disagree Strongly,No,No,Very,Very,Disagree Strongly,Agree Strongly,Yes,Disagree Strongly,Agree Somewhat,Blacklist,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Strongly,Delete,Agree Somewhat,Disagree Somewhat,Disagree Strongly,No,No,Very,A little,Disagree Somewhat,Agree Strongly,Yes,Disagree Strongly,Neither Agree or Disagree,Registry,Agree Strongly,A significant factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Neither Agree or Disagree,Read,No Opinion,Disagree Strongly,Disagree Strongly,No,No,Very,Very,Disagree Strongly,No Opinion,No,Disagree Strongly,No Opinion,Registry,Neither Agree or Disagree,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,No
Disagree Somewhat,Neither Agree or Disagree,Delete,Neither Agree or Disagree,Disagree Strongly,Disagree Strongly,No,Yes,Somewhat,Somewhat,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Neither Agree or Disagree,Impact Fee,Agree Strongly,A significant factor,Disagree Strongly,Neither Agree or Disagree,Agree Strongly,Privacy,Yes
Agree Somewhat,Agree Somewhat,Reply,Agree Strongly,Neither Agree or Disagree,Neither Agree or Disagree,No,No,Somewhat,Somewhat,Agree Somewhat,Agree Somewhat,Yes,Disagree Somewhat,Agree Strongly,Registry,Agree Strongly,A significant factor,Agree Somewhat,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Somewhat,Reply,Agree Somewhat,Disagree Strongly,Disagree Strongly,No,Yes,Very,Very,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Blacklist,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Somewhat,Agree Somewhat,Delete,Agree Somewhat,Disagree Somewhat,Agree Somewhat,No,No,Somewhat,Very,Agree Somewhat,Disagree Strongly,Yes,Disagree Somewhat,Agree Strongly,Impact Fee,Agree Strongly,A deciding factor,Disagree Somewhat,Agree Somewhat,Agree Strongly,Privacy,Yes
Disagree Somewhat,Agree Somewhat,Delete,Neither Agree or Disagree,Agree Somewhat,Agree Somewhat,No,No,Very,Very,Agree Somewhat,Agree Strongly,No,Disagree Somewhat,No Opinion,Don't Know,Agree Strongly,A significant factor,Agree Somewhat,Agree Strongly,Agree Somewhat,Privacy,No
Disagree Strongly,Agree Strongly,Delete,Agree Somewhat,Disagree Strongly,Agree Somewhat,No,No,A little,A little,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Agree Somewhat,Government Controls,Agree Strongly,A significant factor,Neither Agree or Disagree,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Neither Agree or Disagree,Not App,Disagree Strongly,Disagree Strongly,Disagree Strongly,No,No,Very,Very,Agree Somewhat,Neither Agree or Disagree,Yes,Disagree Strongly,Neither Agree or Disagree,Registry,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,No
Neither Agree or Disagree,Agree Somewhat,Read,Agree Somewhat,Neither Agree or Disagree,Agree Somewhat,No,Yes,A little,Very,Neither Agree or Disagree,Neither Agree or Disagree,Yes,Neither Agree or Disagree,Disagree Somewhat,Registry,Agree Somewhat,A deciding factor,Agree Somewhat,Neither Agree or Disagree,Agree Strongly,Privacy,No
Disagree Strongly,Agree Strongly,Not App,Disagree Strongly,Disagree Strongly,Disagree Strongly,No,Yes,Very,Very,Disagree Strongly,Disagree Strongly,Yes,Disagree Strongly,Agree Strongly,Blacklist,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Neither Agree or Disagree,Delete,Disagree Strongly,Disagree Strongly,Disagree Strongly,No,Yes,Very,Very,Disagree Strongly,Disagree Strongly,Yes,Disagree Strongly,Agree Strongly,Other,Agree Strongly,A small factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Strongly,Delete,Agree Strongly,Disagree Strongly,Disagree Strongly,No,Yes,Very,Very,Disagree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Agree Somewhat,Blacklist,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Neither Agree or Disagree,Delete,Neither Agree or Disagree,Disagree Somewhat,Disagree Strongly,No,No,Very,A little,Agree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Agree Somewhat,Registry,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Somewhat,Privacy,Yes
Neither Agree or Disagree,Neither Agree or Disagree,Delete,Agree Strongly,Disagree Somewhat,Agree Somewhat,No,No,Very,A little,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Agree Somewhat,Impact Fee,Agree Strongly,A small factor,Neither Agree or Disagree,Agree Somewhat,Agree Strongly,Privacy,Yes
Disagree Strongly,No Opinion,Delete,Neither Agree or Disagree,Disagree Strongly,Disagree Strongly,No,Yes,Very,Very,No Opinion,Agree Strongly,No,Disagree Strongly,Disagree Strongly,Government Controls,Agree Strongly,A significant factor,Disagree Strongly,Agree Somewhat,Agree Strongly,Privacy,No
Agree Somewhat,No Opinion,Reply,Agree Strongly,Disagree Strongly,Disagree Strongly,Yes,No,A little,A little,Agree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Agree Strongly,Blacklist,Agree Somewhat,A small factor,Disagree Strongly,Agree Strongly,Agree Somewhat,Privacy,Yes
Disagree Strongly,Agree Strongly,Delete,Disagree Strongly,Disagree Strongly,Disagree Strongly,No,Yes,Somewhat,Somewhat,Agree Strongly,Disagree Strongly,Yes,Disagree Strongly,Agree Strongly,Blacklist,Agree Somewhat,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Strongly,Delete,Disagree Strongly,Disagree Strongly,Disagree Strongly,No,Yes,Very,Very,Disagree Strongly,Disagree Strongly,Yes,Disagree Strongly,No Opinion,Other,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
No Opinion,No Opinion,Not App,Neither Agree or Disagree,Neither Agree or Disagree,No Opinion,No,Yes,Very,Very,Agree Somewhat,No Opinion,Yes,Disagree Strongly,No Opinion,Don't Know,Neither Agree or Disagree,A deciding factor,Neither Agree or Disagree,Neither Agree or Disagree,Agree Strongly,Privacy,No
Disagree Strongly,Agree Somewhat,Delete,Disagree Somewhat,Disagree Somewhat,Disagree Somewhat,No,No,Very,Very,Neither Agree or Disagree,Agree Strongly,Yes,Disagree Somewhat,Agree Strongly,Other,Agree Strongly,A significant factor,Neither Agree or Disagree,Disagree Somewhat,Agree Strongly,Privacy,No
No Opinion,No Opinion,Not App,Agree Somewhat,Disagree Strongly,No Opinion,Yes,Yes,Somewhat,Very,Agree Somewhat,Agree Strongly,No,No Opinion,No Opinion,Don't Know,Agree Somewhat,A deciding factor,Disagree Strongly,Agree Somewhat,Agree Somewhat,Privacy,No
Disagree Strongly,Agree Strongly,Delete,Agree Somewhat,Disagree Strongly,Disagree Strongly,No,No,Very,Somewhat,Agree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Agree Strongly,Registry,Agree Strongly,A small factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,No Opinion,Other,Agree Strongly,Disagree Strongly,Agree Strongly,No,No,Very,Very,Disagree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Agree Somewhat,Government Controls,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,No
Disagree Strongly,Agree Strongly,Delete,Agree Strongly,Disagree Somewhat,Disagree Strongly,No,No,Very,Very,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Neither Agree or Disagree,Registry,Agree Strongly,A significant factor,Agree Somewhat,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Somewhat,Agree Somewhat,Reply,Agree Strongly,Agree Somewhat,Agree Somewhat,No,No,Very,Very,Disagree Strongly,Agree Strongly,Yes,Agree Somewhat,Agree Somewhat,Registry,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Neither Agree or Disagree,Delete,Neither Agree or Disagree,Disagree Strongly,Disagree Strongly,No,No,Very,Very,Disagree Somewhat,Agree Strongly,Yes,Disagree Strongly,Neither Agree or Disagree,Government Controls,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
